Open,High,Low,Close,Date,SRETURN
20558.93,20819.77,20558.93,20791.93,29-Nov-2013,0.012516247
20771.27,20941,20770.51,20898.01,02-Dec-2013,0.005101979
20857.85,20927.05,20817.75,20854.92,03-Dec-2013,-0.002061919
20839.45,20863.37,20673.62,20708.71,04-Dec-2013,-0.007010816
20992.25,21165.6,20929.2,20957.81,05-Dec-2013,0.012028755
20955.74,21049.84,20922.45,20996.53,06-Dec-2013,0.001847521
21416.67,21483.74,21282.64,21326.42,09-Dec-2013,0.015711644
21293.58,21327.75,21175.08,21255.26,10-Dec-2013,-0.003336706
21191.27,21215.94,21069.45,21171.41,11-Dec-2013,-0.003944906
21101.05,21103.8,20901.47,20925.61,12-Dec-2013,-0.011609997
20867.17,20867.17,20692.67,20715.58,13-Dec-2013,-0.010036983
20714.26,20764.52,20637.77,20659.52,16-Dec-2013,-0.002706176
20732.44,20784.03,20594.99,20612.14,17-Dec-2013,-0.002293374
20568.7,20917.57,20568.7,20859.86,18-Dec-2013,0.01201816
20959.8,21017.45,20646.03,20708.62,19-Dec-2013,-0.007250288
20792.37,21117.99,20745.94,21079.72,20-Dec-2013,0.017920074
21080.54,21207.89,21059.12,21101.03,23-Dec-2013,0.001010924
21127.66,21156.92,21010.65,21032.71,24-Dec-2013,-0.003237757
21051,21135.85,21013.14,21074.59,26-Dec-2013,0.001991184
21114.49,21235.14,21113.25,21193.58,27-Dec-2013,0.005646136
21260.15,21304.7,21089.21,21143.01,30-Dec-2013,-0.0023861
21177.77,21230.88,21122.68,21170.68,31-Dec-2013,0.001308707
21222.19,21244.35,21133.82,21140.48,01-Jan-2014,-0.001426501
21179.91,21331.32,20846.67,20888.33,02-Jan-2014,-0.011927355
20819.58,20885.18,20731.33,20851.33,03-Jan-2014,-0.001771324
20913.79,20913.79,20721.98,20787.3,06-Jan-2014,-0.003070787
20845.77,20890.48,20637.18,20693.24,07-Jan-2014,-0.004524878
20767.42,20786.41,20688.18,20729.38,08-Jan-2014,0.001746464
20755.73,20778.13,20652.69,20713.37,09-Jan-2014,-0.000772334
20760.72,20971.23,20625.17,20758.49,10-Jan-2014,0.002178303
20850.54,21169.08,20850.54,21134.21,13-Jan-2014,0.018099582
21115,21154.76,21009.05,21032.88,14-Jan-2014,-0.004794596
21091.46,21302.73,21091.46,21289.49,15-Jan-2014,0.012200421
21366.91,21379.29,21199.65,21265.18,16-Jan-2014,-0.001141878
21236.65,21270.11,21015.61,21063.62,17-Jan-2014,-0.009478406
21083.53,21221.37,21001.13,21205.05,20-Jan-2014,0.00671442
21237.96,21302.52,21189.2,21251.12,21-Jan-2014,0.002172596
21251.65,21377.91,21168.43,21337.67,22-Jan-2014,0.004072727
21319.69,21409.66,21264.71,21373.66,23-Jan-2014,0.001686688
21289.15,21333.66,21123.99,21133.56,24-Jan-2014,-0.011233453
20899.03,20899.03,20688.03,20707.45,27-Jan-2014,-0.020162717
20721.17,20795.35,20554.28,20683.51,28-Jan-2014,-0.001156106
20784.04,20828.68,20613.62,20647.3,29-Jan-2014,-0.00175067
20491.74,20528.41,20343.78,20498.25,30-Jan-2014,-0.007218862
20544.64,20572.32,20448.43,20513.85,31-Jan-2014,0.000761041
20479.03,20480.35,20182.2,20209.26,03-Feb-2014,-0.014848017
20050.99,20255.52,19963.12,20211.93,04-Feb-2014,0.000132118
20241.12,20289.33,20076.1,20261.03,05-Feb-2014,0.002429258
20286.09,20358.19,20079.82,20310.74,06-Feb-2014,0.002453478
20441.04,20450.51,20282.3,20376.56,07-Feb-2014,0.00324065
20429.16,20434.5,20312.21,20334.27,10-Feb-2014,-0.002075424
20400.94,20443.35,20349.51,20363.37,11-Feb-2014,0.001431082
20449.83,20516.6,20427.23,20448.49,12-Feb-2014,0.004180055
20478.67,20503.86,20164.67,20193.35,13-Feb-2014,-0.012477205
20265.13,20391.95,20149.01,20366.82,14-Feb-2014,0.008590452
20438.87,20492.43,20338.95,20464.06,17-Feb-2014,0.004774432
20457.56,20685.02,20436.48,20634.21,18-Feb-2014,0.008314577
20643.85,20750.52,20629.56,20722.97,19-Feb-2014,0.004301594
20661.07,20662.66,20522.04,20536.64,20-Feb-2014,-0.008991472
20600.58,20725.04,20599.91,20700.75,21-Feb-2014,0.007991083
20695.48,20828.63,20637.3,20811.44,24-Feb-2014,0.005347149
20877.72,20912.54,20777.73,20852.47,25-Feb-2014,0.001971512
20869.61,21005.04,20860.02,20986.99,26-Feb-2014,0.006451034
20995.39,21140.51,20989.66,21120.12,28-Feb-2014,0.006343454
21079.27,21140,20920.98,20946.65,03-Mar-2014,-0.008213495
20947,21224.64,20940.39,21209.73,04-Mar-2014,0.012559526
21280.36,21333.2,21176.16,21276.86,05-Mar-2014,0.003165057
21336.32,21525.14,21329.88,21513.87,06-Mar-2014,0.011139332
21539.44,21960.89,21539.44,21919.79,07-Mar-2014,0.018867828
21819.19,22023.98,21805.22,21934.83,10-Mar-2014,0.000686138
21918.83,22018.52,21772.11,21826.42,11-Mar-2014,-0.004942368
21793.32,21965.95,21768.14,21856.22,12-Mar-2014,0.001365318
21736.61,21991.36,21720.13,21774.61,13-Mar-2014,-0.003733949
21648.05,21853.32,21573.48,21809.8,14-Mar-2014,0.001616102
21849.65,22040.72,21785.38,21832.61,18-Mar-2014,0.00104586
21872.68,21895.83,21782.01,21832.86,19-Mar-2014,1.14508E-05
21797.61,21853.25,21704.66,21740.09,20-Mar-2014,-0.0042491
21823.52,21870.11,21729.9,21753.75,21-Mar-2014,0.000628332
21752.44,21778.92,21725.52,21755.32,22-Mar-2014,7.21715E-05
21827.5,22074.34,21827.5,22055.48,24-Mar-2014,0.013797085
21948.31,22079.96,21916.87,22055.21,25-Mar-2014,-1.22419E-05
22134.71,22172.2,22020.58,22095.3,26-Mar-2014,0.001817711
22116.23,22307.74,22094.29,22214.37,27-Mar-2014,0.005388929
22273.44,22363.97,22185.11,22339.97,28-Mar-2014,0.005653998
22423.14,22467.21,22253.78,22386.27,31-Mar-2014,0.002072518
22455.23,22485.77,22295.65,22446.44,01-Apr-2014,0.002687808
22550.58,22592.1,22473.46,22551.49,02-Apr-2014,0.004680029
22598.19,22620.65,22369.28,22509.07,03-Apr-2014,-0.001881029
22522.46,22525.21,22339.4,22359.5,04-Apr-2014,-0.006644877
22355.56,22481.62,22197.51,22343.45,07-Apr-2014,-0.000717816
22389.21,22740.04,22379.95,22702.34,09-Apr-2014,0.016062425
22729.46,22792.49,22644.43,22715.33,10-Apr-2014,0.000572188
22642.05,22679.18,22526.89,22628.96,11-Apr-2014,-0.003802278
22698.09,22737.31,22416.24,22484.93,15-Apr-2014,-0.006364853
22486.73,22533.61,22247.39,22277.23,16-Apr-2014,-0.009237298
22327.76,22648.69,22312.19,22628.84,17-Apr-2014,0.015783381
22644.75,22795.58,22636.75,22764.83,21-Apr-2014,0.006009588
22771.24,22853.03,22727.63,22758.37,22-Apr-2014,-0.000283771
22783.65,22912.52,22780.13,22876.54,23-Apr-2014,0.005192375
22892.5,22939.31,22656.64,22688.07,25-Apr-2014,-0.008238571
22717.59,22721.36,22597.19,22631.61,28-Apr-2014,-0.002488533
22654.28,22681.89,22443.56,22466.19,29-Apr-2014,-0.007309246
22517.63,22680.46,22284.96,22417.8,30-Apr-2014,-0.002153903
22493.59,22575.62,22386.95,22403.89,02-May-2014,-0.000620489
22412.8,22592.03,22354.45,22445.12,05-May-2014,0.001840305
22512.23,22602.71,22475.65,22508.42,06-May-2014,0.002820212
22488.96,22532.82,22286.26,22323.9,07-May-2014,-0.008197821
22382.14,22443.13,22277.04,22344.04,08-May-2014,0.000902172
22374.98,23048.49,22317.18,22994.23,09-May-2014,0.029099035
23031.11,23572.88,23008.65,23551,12-May-2014,0.024213466
23729.78,24068.94,23729.25,23871.23,13-May-2014,0.013597299
23897.88,23964.67,23753.36,23815.12,14-May-2014,-0.002350528
23809.42,23971.78,23742.75,23905.6,15-May-2014,0.003799267
24271.54,25375.63,23873.16,24121.74,16-May-2014,0.009041396
24340.32,24448.47,24107.99,24363.05,19-May-2014,0.010003839
24555.31,24587.16,24299.53,24376.88,20-May-2014,0.000567663
24404.48,24419.54,24156.47,24298.02,21-May-2014,-0.003235033
24415.42,24524.76,24326.48,24374.4,22-May-2014,0.003143466
24535.14,24745.86,24470.78,24693.35,23-May-2014,0.01308545
24913.89,25175.22,24433.9,24716.88,26-May-2014,0.000952888
24748.1,24777.31,24422.33,24549.51,27-May-2014,-0.006771486
24591.61,24643.33,24488.81,24556.09,28-May-2014,0.00026803
24523.13,24528.2,24206.5,24234.15,29-May-2014,-0.013110393
24300.99,24353.59,24163.62,24217.34,30-May-2014,-0.000693649
24368.96,24709.09,24270.2,24684.85,02-Jun-2014,0.019304763
24729.22,24892.06,24626.97,24858.59,03-Jun-2014,0.007038325
24909.03,24925.9,24773.93,24805.83,04-Jun-2014,-0.002122405
24828.38,25044.06,24644.88,25019.51,05-Jun-2014,0.008614104
25204.95,25419.14,25129.76,25396.46,06-Jun-2014,0.015066242
25543.6,25644.77,25496.84,25580.21,09-Jun-2014,0.00723526
25706.35,25711.11,25347.33,25583.69,10-Jun-2014,0.000136043
25650.62,25725.12,25400.15,25473.89,11-Jun-2014,-0.004291797
25597.21,25611.32,25409.69,25576.21,12-Jun-2014,0.004016662
25677.05,25688.31,25171.61,25228.17,13-Jun-2014,-0.013607958
25239.5,25268.41,25063.93,25190.48,16-Jun-2014,-0.001493965
25189.46,25545.88,25104.5,25521.19,17-Jun-2014,0.013128372
25565.19,25609.28,25114.3,25246.25,18-Jun-2014,-0.010773009
25327.09,25425.85,25069.66,25201.8,19-Jun-2014,-0.001760658
25237.54,25276.31,25056.18,25105.51,20-Jun-2014,-0.003820759
25108.09,25197.5,24878.66,25031.32,23-Jun-2014,-0.002955128
25115.83,25414.69,25115.83,25368.9,24-Jun-2014,0.013486304
25421.49,25427.8,25274.39,25313.74,25-Jun-2014,-0.002174316
25217.69,25309.33,25021.23,25062.67,26-Jun-2014,-0.009918329
25132.08,25209.61,25032.94,25099.92,27-Jun-2014,0.001486274
25179.55,25460.96,25179.55,25413.78,30-Jun-2014,0.012504422
25469.94,25571.9,25466.77,25516.35,01-Jul-2014,0.004035999
25660.57,25864.53,25660.16,25841.21,02-Jul-2014,0.012731445
25875.75,25999.08,25793.7,25823.75,03-Jul-2014,-0.000675665
25844.8,25981.51,25659.33,25962.06,04-Jul-2014,0.005355922
26039.67,26123.55,25992.73,26100.08,07-Jul-2014,0.005316219
26166.92,26190.44,25495.04,25582.11,08-Jul-2014,-0.019845533
25615.28,25683.97,25364.77,25444.81,09-Jul-2014,-0.005367032
25513.74,25920.46,25117,25372.75,10-Jul-2014,-0.002832012
25488.86,25548.33,24978.33,25024.35,11-Jul-2014,-0.013731267
25093.16,25095.76,24892,25006.98,14-Jul-2014,-0.000694124
25100.9,25254.48,25020.32,25228.65,15-Jul-2014,0.008864325
25322.17,25602.78,25246.75,25549.72,16-Jul-2014,0.012726404
25540.92,25613.03,25494.46,25561.16,17-Jul-2014,0.000447754
25558.48,25713.4,25441.24,25641.56,18-Jul-2014,0.003145397
25776.54,25861.15,25677.71,25715.17,21-Jul-2014,0.00287073
25784.48,26050.38,25780.39,26025.8,22-Jul-2014,0.01207964
26130.26,26188.64,26000.4,26147.33,23-Jul-2014,0.004669597
26188.5,26292.66,26077.7,26271.85,24-Jul-2014,0.004762245
26257.14,26300.17,26007.31,26126.75,25-Jul-2014,-0.005523022
26173.47,26181.83,25900.25,25991.23,28-Jul-2014,-0.005187021
26005.14,26113.48,25850.04,26087.42,30-Jul-2014,0.003700864
26105.89,26118.88,25853.69,25894.97,31-Jul-2014,-0.007377119
25753.92,25862.68,25459.13,25480.84,01-Aug-2014,-0.015992681
25631.68,25754.42,25531.38,25723.16,04-Aug-2014,0.009509891
25817.84,25928.32,25562.36,25908.01,05-Aug-2014,0.007186131
25892.55,25901.68,25621.85,25665.27,06-Aug-2014,-0.009369303
25668.71,25778.05,25526.05,25589.01,07-Aug-2014,-0.002971331
25406.87,25406.87,25232.82,25329.14,08-Aug-2014,-0.010155532
25476.87,25553.44,25437.05,25519.24,11-Aug-2014,0.00750519
25703.78,25904.98,25645.79,25880.77,12-Aug-2014,0.014166958
25861.47,25972.62,25791.79,25918.95,13-Aug-2014,0.001475227
25948.3,26135,25945.35,26103.23,14-Aug-2014,0.007109856
26123.69,26413.11,26075.28,26390.96,18-Aug-2014,0.011022774
26482.56,26530.67,26387.84,26420.67,19-Aug-2014,0.001125764
26496.29,26504.52,26277.61,26314.29,20-Aug-2014,-0.004026393
26322.66,26464.8,26262.52,26360.11,21-Aug-2014,0.001741259
